,basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
1221,,Removable Li-Ion 1300 mAh battery (BP-3L),,No,8GB 512MB RAM,Microsoft Windows Phone 7.5 Mango,,"5 MP, AF","2011, December. Released 2012, January","3.7 inches, 39.0 cm, (~52.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia Lumia 710 T-Mobile
1222,,Non-removable Li-Ion 1450 mAh battery (BV-5JW),,No,16GB 512MB RAM,"Microsoft Windows Phone 7.5 Mango, upgradable to 7.8",,"8 MP, AF","2011, October. Released 2011, November","3.7 inches, 39.0 cm, (~54.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)","AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia Lumia 800
1223,,Removable Li-Ion 1020 mAh battery (BL-5C),,No,10MB 64MB ROM 32MB RAM,,,2 MP,"2011, December. Released 2012, January","2.2 inches, 15.0 cm, (~26.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",TFT,,Nokia X2-02
1224,,Removable Li-Ion 1300 mAh battery (BP-3L),,VGA,8GB 256MB RAM,Symbian Anna OS,,8 MP,"2011, December. Released 2012, September","4.0 inches, 44.1 cm, (~54.2% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~184 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia 801T
1225,,Removable Li-Ion 860 mAh battery (BL-4C),,No,,,,VGA,"2009, November. Released 2010, March","1.8 inches, 10.2 cm, (~20.8% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 256K colors",,Nokia 2690
1226,,Removable Li-Ion 1000 mAh battery (BL-4U),,No,70MB,,,3.15 MP,"2009, November. Released 2010, May","2.4 inches, 17.8 cm, (~36.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors",,Nokia 5330 Mobile TV Edition
1227,,Removable Li-Ion 860 mAh battery (BL-4CT),,No,45MB,,,3.15 MP,"2009, November. Released 2010, February","2.4 inches, 17.8 cm, (~37.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 256K colors",,Nokia 7230
1228,,Removable Li-Ion 860 mAh battery,,VGA,45MB 128MB RAM,"Symbian 9.3, S60 rel. 3.2",,"5 MP, AF","2009, November. Released 2010, April","2.2 inches, 15.0 cm, (~34.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia 6700 slide
1229,,Removable Li-Ion 1020 mAh battery (BL-5C),,No,"64MB RAM, 128MB ROM",,,2 MP,"2009, December. Released 2010, May","2.2 inches, 15.0 cm, (~29.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 256K colors","Accelerometer, compass",Nokia 2710 Navigation Edition
1230,,Removable Li-Ion 1320 mAh battery (BL-5J),,,32GB 128MB RAM,"Symbian 9.4, Series 60 rel. 5",,"5 MP, AF","2009, September. Released 2009, December","3.2 inches, 28.2 cm, (~49.9% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity",Nokia X6 (2009)
1231,,Removable Li-Ion 1320 mAh battery (BL-5J),,,16GB 128MB RAM,"Symbian 9.4, Series 60 rel. 5",,"5 MP, AF","2010, January. Released 2010, February","3.2 inches, 28.2 cm, (~49.9% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity",Nokia X6 16GB (2010)
1232,,Removable Li-Ion 1200 mAh battery (BL-5C),,No,30MB,,,2 MP,"2010, February. Released 2010, April","2.0 inches, 12.4 cm, (~24.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 256K colors",,Nokia 5132 XpressMusic
1233,,Removable Li-Ion 1050 mAh battery (BL-5CT),,No,55MB,,,3.15 MP,"2010, February. Released 2010, March","2.2 inches, 15.0 cm, (~29.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia 6303i classic
1234,,Removable Li-Ion 950 mAh battery (BL-5F),,VGA videocall camera,256MB,"Symbian 9.3, Series 60 rel. 3.2",,"5 MP, AF","2010, April. Released 2010, July","2.4 inches, 17.8 cm, (~31.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors",Accelerometer,Nokia X5 TD-SCDMA
1235,,Removable Li-Ion 950 mAh battery (BL-5F),,VGA videocall camera,256MB,"Symbian 9.3, Series 60 rel. 3.2",,"5 MP, AF","2010, April. Released 2010, Q3","2.4 inches, 17.8 cm, (~33.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors",,Nokia C5 TD-SCDMA
1236,,Removable Li-Ion 1050 mAh battery (BL-5CT),,VGA videocall camera,50MB 128MB RAM,"Symbian 9.3, Series 60 rel. 3.2",,3.15 MP,"2010, March. Released 2010, April","2.2 inches, 15.0 cm, (~29.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia C5
1237,,Removable Li-Ion 1320 mAh battery (BL-5J),,No,55MB 64MB RAM 128MB ROM,,,2 MP,"2010, April. Released 2010, June","2.4 inches, 17.8 cm, (~26.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)","TFT, 256K colors",,Nokia C3
1238,,Removable Li-Ion 1200 mAh battery (BL-4D),,No,250MB; 256MB RAM,"Symbian 9.3, Series 60 rel. 3.2",,5 MP,"2010, April. Released 2010, August","2.36 inches, 17.2 cm, (~25.5% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~169 ppi density)","TFT, 256K colors",,Nokia E5
1239,,Removable Li-Ion 1200 mAh battery (BL-4J),,QVGA,240MB,"Symbian 9.4, Series 60 rel. 5",,"5 MP, AF","2010, April. Released 2010, July","3.2 inches, 28.2 cm, (~47.1% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT resistive touchscreen, 16M colors","Accelerometer, proximity",Nokia C6
1240,,Removable Li-Ion 860 mAh battery (BL-4C),,No,48MB 128MB ROM 64MB RAM,,,5 MP,"2010, April. Released 2010, July","2.2 inches, 15.0 cm, (~28.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 256K colors",,Nokia X2-00
1241,,Non-removable Li-Ion 1200 mAh battery (BL-4D),,VGA videocall camera,16GB 256MB RAM,"Symbian^3, upgradable to Nokia Belle Refresh",,"12 MP, 1/1.83"", AF","2010, April. Released 2010, October","3.5 inches, 33.8 cm, (~50.3% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)","AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia N8
1242,,Removable Li-Ion 1020 mAh battery (BL-5C),,,,,,No,"2010, June. Released 2010, September","1.8 inches, 10.2 cm, (~21.2% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 65K colors",,Nokia C1-00
1243,,Removable Li-Ion 800 mAh battery (BL-5CB),,No,10MB 16MB RAM 64MB ROM,,,600 x 480,"2010, June. Released 2010, December","1.8 inches, 10.2 cm, (~21.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 65K colors",,Nokia C1-01
1244,,Removable Li-Ion 1020 mAh battery (BL-5C) / 800 mAh battery (BL-5CB),,,10MB 64MB ROM 16MB RAM,,,No,"2010, June. Released 2011, January","1.8 inches, 10.2 cm, (~21.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 65K colors",,Nokia C1-02
1245,,Removable Li-Ion 1020 mAh battery (BL-5C),,No,"64MB ROM, 16MB RAM",,,VGA,"2010, June. Released 2011, July","1.8 inches, 10.2 cm, (~21.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 65K colors",,Nokia C2-00
1246,,Removable Li-Po 1500 mAh battery (BP-4L),,VGA videocall camera,250MB,"Symbian OS 9.3, Series 60 v3.2 UI",,"5 MP, AF","2010, June. Released 2010, June","2.4 inches, 17.8 cm, (~26.8% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors","Accelerometer, compass",Nokia E73 Mode
1247,,Removable Li-Ion 1320 mAh battery (BL-5J),,No,70MB 128MB RAM,"Symbian 9.4, Series 60 rel. 5",,2 MP,"2010, January. Released 2010, January","3.2 inches, 28.2 cm, (~49.2% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT resistive touchscreen, 16M colors","Accelerometer, proximity",Nokia 5233
1248,,Removable Li-Ion 950 mAh battery (BL-5F),,No,200MB,"Symbian OS 9.3, Series 60 v3.2 UI",,5 MP,"2010, June. Released 2010, September","2.36 inches, 17.2 cm, (~35.0% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~169 ppi density)","TFT, 256K colors",Accelerometer,Nokia X5-01
1249,,Removable Li-Ion 1320 mAh battery (BL-5J),,,8GB 128MB RAM,"Symbian 9.4, Series 60 rel. 5",,"5 MP, AF","2010, June. Released 2010, July","3.2 inches, 28.2 cm, (~49.9% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity",Nokia X6 8GB (2010)
1250,,Removable Li-Ion 860 mAh battery (BL-4S),,No,"256MB ROM, 128MB RAM (RM-775), 128MB ROM, 64MB RAM (RM-639)",,,5 MP,"2010, August. Released 2010, September","2.4 inches, 17.8 cm, (~34.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT resistive touchscreen, 256K colors",,Nokia X3-02 Touch and Type
1251,,Removable Li-Ion battery,,No,,,,Yes,Not officially announced yet,,"240 x 320 pixels, 4:3 ratio","TFT resistive touchscreen, 256K colors",,Nokia X3 Touch and Type S
1252,,Removable Li-Ion 1000 mAh battery (BL-4U),,No,51MB,"Symbian, S60 rel. 5",,2 MP,"2010, August. Released 2010, September","2.8 inches, 21.6 cm, (~42.4% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~262 ppi density)","TFT resistive touchscreen, 16M colors",,Nokia 5250
1253,,Removable Li-Ion 1050 mAh battery (BL-5CT),,No,30MB 64MB RAM 128MB ROM,,,5 MP,"2010, September. Released 2010, October","2.4 inches, 17.8 cm, (~33.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT resistive touchscreen, 256K colors",,Nokia C3-01 Touch and Type
1254,,Removable Li-Ion 1200 mAh battery (BL-5K),,VGA,8GB 256MB RAM,"Symbian^3, upgradable to Nokia Belle OS",,8 MP,"2010, September. Released 2010, October","3.5 inches, 33.8 cm, (~50.7% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)","AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia C7
1255,,Removable Li-Ion 1050 mAh battery (BL-5CT),,VGA,340MB 256MB RAM 1GB ROM,"Symbian^3, upgradable to Nokia Belle OS",,8 MP,"2010, September. Released 2010, November","3.2 inches, 28.2 cm, (~51.8% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia C6-01
1256,,Removable Li-Ion 860 mAh battery (BL-4S),,No,13MB,,,3.15 MP,"2008, December. Released 2009, March","2.4 inches, 17.8 cm, (~33.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT resistive touchscreen, 16M colors",,Nokia 6208c
1257,,Removable Li-Ion 1020 mAh battery (BL-5C),,No,32MB,,,2 MP,"2009, January. Released 2009, July","2.0 inches, 12.4 cm, (~24.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 256K colors",,Nokia 2700 classic
1258,,Removable Li-Ion 1050 mAh battery (BL-5CT),,No,17MB,,,"3.15 MP, AF","2008, December. Released 2009, May","2.2 inches, 15.0 cm, (~29.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia 6303 classic
1259,,Removable Li-Ion 970 mAh battery (BL-6Q),,No,170MB,,,"5 MP, AF","2009, January. Released 2009, May","2.2 inches, 15.0 cm, (~30.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",Accelerometer,Nokia 6700 classic
1260,,Removable Li-Ion 860 mAh battery (BL-4CT),,VGA videocall camera,60MB 128MB RAM,"Symbian, S60 rel. 3.2",,3.15 MP,"2009, February. Released 2009, June","2.2 inches, 15.0 cm, (~29.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia 5630 XpressMusic
1261,,Removable Li-Ion 950 mAh battery (BL-5F),,Videocall camera,50MB,"Symbian OS 9.3, S60 rel. 3.2",,"5 MP, AF","2009, February. Released 2009, August","2.6 inches, 20.9 cm, (~39.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)","TFT, 16M colors","Accelerometer, compass",Nokia 6710 Navigator
1262,,Removable Li-Ion 1050 mAh battery (BP-6MT),,QVGA videocall camera,50MB,"Symbian, S60 rel. 3.2",,"5 MP, AF","2009, February. Released 2009, July","2.2 inches, 15.0 cm, (~30.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia 6720 classic
1263,,Removable Li-Po 1500 mAh battery (BP-4L),,QVGA videocall camera,60MB,"Symbian, S60 rel. 3.2",,3.2 MP,"2009, February. Released 2009, August","2.4 inches, 17.8 cm, (~31.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors","Accelerometer, compass",Nokia E55
1264,,Removable Li-Ion 1000 mAh battery (BL-4U),,VGA videocall camera,85MB,"Symbian, S60 rel. 3.2",,"3.2 MP, AF","2009, February. Released 2009, April","2.4 inches, 17.8 cm, (~31.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors",Accelerometer,Nokia E75
1265,,Removable Li-Ion 1200 mAh battery (BL-5K),,VGA videocall camera,8GB 128MB RAM,"Symbian 9.3, S60 rel. 3.2",,"8 MP, AF","2009, February. Released 2009, June","2.6 inches, 20.9 cm, (~39.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)","AMOLED, 16M colors","Accelerometer, compass",Nokia N86 8MP
1266,,Removable Li-Ion 1020 mAh battery (BL-5C),,,8MB,,,No,"2009, March. Released 2009, June","1.8 inches, 10.2 cm, (~21.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 65K colors",,Nokia 5030 XpressRadio
1267,,Removable Li-Ion 1000 mAh battery (BL-4U),,No,70MB,,,3.15 MP,"2009, March. Released 2010, May","2.4 inches, 17.8 cm, (~36.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors",,Nokia 5330 XpressMusic
1268,,Removable Li-Ion 1000 mAh battery (BL-4U),,QVGA videocall camera,100MB 128MB RAM,"Symbian, S60 rel. 3.2",,"3.15 MP, AF","2009, March. Released 2009, June","2.4 inches, 17.8 cm, (~31.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors",Accelerometer,Nokia 5730 XpressMusic
1269,,Removable Li-Ion 1000 mAh battery (BL-4U),,VGA videocall camera,22MB,,,"2 MP, AF","2009, April","2.0 inches, 12.4 cm, (~25.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 16M colors",,Nokia 6216 classic
1270,,Removable Li-Po 1500 mAh battery (BP-4L),,QVGA videocall camera,60MB,"Symbian, S60 rel. 3.2",,3.2 MP,"2009, May. Released 2009, July","2.4 inches, 17.8 cm, (~31.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors","Accelerometer, compass",Nokia E52
1271,,Removable Li-Ion 1020 mAh battery (BL-5C),,No,30MB,,,2 MP,"2009, May. Released 2009, October","2.0 inches, 12.4 cm, (~24.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 256K colors",,Nokia 2730 classic
1272,,Removable Li-Ion 860 mAh battery (BL-4CT),,No,9MB,,,1.3 MP,"2009, May. Released 2009, September","1.8 inches, 10.0 cm, (~23.5% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)","TFT, 65K colors",,Nokia 2720 fold
1273,,Removable Li-Ion 860 mAh battery (BL-4S),,No,45MB,,,2 MP,"2009, May. Released 2009, December","2.2 inches, 15.0 cm, (~35.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 256K colors",,Nokia 7020
1274,,Removable Li-Ion 1000 mAh battery (BL-4U),,VGA,20MB,,,"5 MP, AF","2009, May. Released 2009, July","2.2 inches, 15.0 cm, (~35.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",Accelerometer,Nokia 6600i slide
1275,,Removable Li-Ion 1050 mAh battery (BL-5CT),,VGA videocall camera,48MB,"Symbian, S60 rel. 3.2",,3.15 MP,"2009, May. Released 2009, July","2.2 inches, 15.0 cm, (~29.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia 6730 classic
1276,,Removable Li-Ion 860 mAh battery (BL-4S),,VGA videocall camera,70MB,,,3.2 MP,"2009, June. Released 2009, December","2.2 inches, 15.0 cm, (~35.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia 3710 fold
1277,,Removable Li-Po 1500 mAh battery (BP-4L),,VGA videocall camera,250MB 128MB RAM,"Symbian OS 9.3, Series 60 v3.2 UI",,"5 MP, AF","2009, June. Released 2009, October","2.36 inches, 17.2 cm, (~26.1% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~169 ppi density)","TFT, 16M colors","Accelerometer, compass",Nokia E72
1278,,Removable Li-Ion 1000 mAh battery (BL-4U),,No,70MB 128MB SDRAM,"Symbian 9.4, Series 60 rel. 5",,"3.15 MP, AF","2009, June. Released 2009, August","2.9 inches, 23.2 cm, (~45.5% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~253 ppi density)","TFT resistive touchscreen, 16M colors","Accelerometer, proximity",Nokia 5530 XpressMusic
1279,,Removable Li-Ion 1050 mAh battery (BL-5CT),,No,20MB,,,2 MP,"2009, July. Released 2009, September","2.2 inches, 15.0 cm, (~27.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia 3720 classic
1280,,Removable Li-Ion 1500 mAh battery (BP-4L),,No,128MB,"Symbian, S60 rel. 3.2",,2 MP,"2009, July. Released 2009, July","2.4 inches, 17.8 cm, (~31.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors",,Nokia 6790 Surge
1281,,Removable Li-Ion 1500 mAh battery (BP-4L),,No,120MB,"Symbian, S60 rel. 3.2",,3.15 MP,"2009, July. Released 2009, October","2.4 inches, 17.8 cm, (~31.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors",Accelerometer,Nokia 6760 slide
1282,,Removable Li-Ion 1050 mAh battery (BL-6MT),,No,70MB,,,2 MP,"2009, September. Released 2009, September","2.2 inches, 15.0 cm, (~32.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia Mural
1283,,Removable Li-Ion 1050 mAh battery (BL-6MT),,No,52MB,,,2 MP,"2009, October. Released 2009, October","2.0 inches, 12.4 cm, (~28.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 16M colors",,Nokia 6350
1284,,Removable Li-Ion 1320 mAh battery (BL-5J),,Videocall camera,81MB 128MB RAM,"Symbian 9.4, Series 60 rel. 5",,"3.15 MP, AF","2009, August. Released 2009, October","3.2 inches, 28.2 cm, (~49.2% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT resistive touchscreen, 16M colors","Accelerometer, proximity",Nokia 5800 Navigation Edition
1285,,Removable Li-Ion 1020 mAh battery (BL-5C),,No,13MB,,,2 MP,"2009, August. Released 2009, Q4","2.4 inches, 17.8 cm, (~33.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT resistive touchscreen, 256K colors",,Nokia 3208c
1286,,Removable Li-Ion 1320 mAh battery (BL-5J),,No,70MB 128MB RAM,"Symbian 9.4, Series 60 rel. 5",,2 MP,"2009, August. Released 2009, November","3.2 inches, 28.2 cm, (~49.2% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT resistive touchscreen, 16M colors","Accelerometer, proximity",Nokia 5230
1287,,Removable Li-Ion 1500 mAh battery (BP-4L),,No,30MB,"Symbian, Series 60 v3.2 UI",,2 MP,"2008, March. Released 2008, June","2.2 inches, 15.0 cm, (~32.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia 6650 fold
1288,,Removable Li-Ion 890 mAh battery (BL-5B),,CIF videocall camera,35MB 64MB RAM 128MB ROM,"Symbian 9.2, S60 rel. 3.1",,2 MP,"2008, March. Released 2008, June","2.0 inches, 12.4 cm, (~25.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 16M colors",,Nokia 6124 classic
1289,,Removable Li-Ion 950 mAh battery (BL-5F),,Videocall camera,120MB 128MB RAM,"Symbian OS 9.3, S60 rel. 3.2",,"3.15 MP, AF","2008, February. Released 2008, July","2.4 inches, 17.8 cm, (~35.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors","Accelerometer, compass",Nokia 6210 Navigator
1290,,Removable Li-Ion 900 mAh battery (BP-5M),,Videocall camera,120MB 128MB RAM,"Symbian OS 9.3, S60 rel. 3.2",,"5 MP, AF","2008, February. Released 2008, July","2.2 inches, 15.0 cm, (~29.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia 6220 classic
1291,,Removable Li-Ion 1200 mAh battery (BL-6F),,CIF videocall camera,76MB 96MB RAM,"Symbian, S60 rel. 3.2",,"3.15 MP, AF","2008, February. Released 2008, May","2.4 inches, 17.8 cm, (~32.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors",,Nokia N78
1292,,Removable Li-Ion 950 mAh battery (BL-5F),,VGA videocall camera,16GB 128MB RAM,"Symbian OS 9.3, S60 rel. 3.2",,"5 MP, AF","2008, February. Released 2008, September","2.8 inches, 24.3 cm, (~42.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","TFT, 16M colors",Accelerometer,Nokia N96
1293,,Removable Li-Ion 860 mAh battery (BL-4C),,No,30MB,,,2 MP,"2008, March. Released 2008, April","2.0 inches, 31 x 41 mm, 12.4 cm, (~26.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 16M colors",,Nokia 6300i
1294,,Removable Li-Ion 700 mAh battery (BL-5CA),,No,11MB,,,VGA,"2008, April. Released 2008, July","1.85 inches, 10.8 cm, (~21.7% screen-to-body ratio)",128 x 160 pixels (~111 ppi density),"TFT, 65K colors",,Nokia 1680 classic
1295,,Removable Li-Ion 860 mAh battery (BL-4S),,No,12MB 4MB RAM 32MB ROM,,,VGA,"2008, April. Released 2008, September","1.8 inches, 10.2 cm, (~21.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 65K colors",,Nokia 2680 slide
1296,,Removable Li-Ion 700 mAh battery (BL-4B),,,11MB,,,No,"2008, April. Released 2008, August","1.8 inches, 10.2 cm, (~26.5% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 65K colors",,Nokia 7070 Prism
1297,,Removable Li-Ion 700 mAh battery (BL-4B),,No,12MB,,,1.3 MP,"2008, April. Released 2008, June","2.0 inches, 12.4 cm, (~25.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 65K colors",,Nokia 5000
1298,,Removable Li-Ion 1000 mAh battery (BL-4U),,CIF videocall camera,22MB,,,2 MP,"2008, April. Released 2009, April","2.0 inches, 12.4 cm, (~22.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 16M colors",,Nokia 6212 classic
1299,,Removable Li-Ion 1020 mAh battery (BL-5CT),,No,30MB,,,2 MP,"2008, April. Released 2008, July","2.0 inches, 12.4 cm, (~26.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 256K colors",,Nokia 5220 XpressMusic
1300,,Removable Li-Ion 890 mAh battery (BL-5B),,Videocall camera,140MB,"Symbian OS 9.3, S60 rel. 3.2",,2 MP,"2008, April. Released 2008, July","2.0 inches, 12.4 cm, (~24.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 16M colors",,Nokia 5320 XpressMusic
1301,,Removable Li-Ion 860 mAh battery (BL-4S),,No,30MB,,,"3.15 MP, AF","2008, April. Released 2008, August","2.0 inches, 12.4 cm, (~26.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 16M colors",,Nokia 3600 slide
1302,,Removable Li-Ion 1000 mAh battery (BL-4U),,Videocall camera,18MB,,,"3.15 MP, AF","2008, April. Released 2008, August","2.2 inches, 15.0 cm, (~37.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",Accelerometer,Nokia 6600 slide
1303,,Removable Li-Ion battery,,,8GB 512MB RAM,Microsoft Windows Phone 7,,5 MP,Not officially announced yet,"3.7 inches, 39.0 cm, (~51.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia 703
1304,,Removable Li-Ion 860 mAh battery (BL-4CT),,VGA videocall camera,18MB,,,2 MP,"2008, April. Released 2008, August","2.13 inches, 14.0 cm, (~36.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~188 ppi density)","OLED, 16M colors",,Nokia 6600 fold
1305,,Removable Li-Ion 1000 mAh battery (BL-4U),,Videocall camera,110MB 128MB RAM,"Symbian OS 9.2, Series 60 v3.1 UI",,"3.15 MP, AF","2008, June. Released 2008, July","2.4 inches, 17.8 cm, (~33.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors",Accelerometer,Nokia E66
1306,,Removable Li-Po 1500 mAh battery (BP-4L),,Videocall camera,110MB 128MB RAM,"Symbian OS 9.2, Series 60 v3.1 UI",,"3.15 MP, AF","2008, June. Released 2008, July","2.36 inches, 17.2 cm, (~26.5% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~169 ppi density)","TFT, 16M colors",,Nokia E71
